Mandal,Date,Rain (mm),Min Temp,Max Temp,Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),SO2,Nox,PM 10,PM 2.5,NH3,Petrol Vehicle,Diesel Vehicle,Electric Vehicle,1-3 seater,4-7 seater,8-20 seater,20+ seater,AQI
Adilabad Rural,01-01-2018,0,9.9,29.4,23.2,88.1,0,19.7,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,02-01-2018,0,11.4,31.1,20,82.5,0,16.2,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,03-01-2018,0,10.2,30.7,24.5,85.1,0,16.3,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,04-01-2018,0,9.9,30.5,24.5,86.4,0,15.2,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,05-01-2018,0,10.4,29,24.2,81.7,0,15.4,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,06-01-2018,0,10.6,30.5,22.6,81.3,0,16.3,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,07-01-2018,0,14.6,31.4,20.7,64.2,0,14.4,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,08-01-2018,0,11.9,30.4,31.2,84.2,0,11.2,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,09-01-2018,0,9.9,29,29.5,83.4,0,17.8,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,10-01-2018,0,10.2,28.5,24.2,80.9,0,21.3,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,11-01-2018,0,11.1,29.8,22.6,80.4,0,18.1,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,12-01-2018,0,13.1,31.8,23.4,76.3,0,12.7,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,13-01-2018,0,12.2,32.6,22.8,79.7,0,14.6,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,14-01-2018,0,13.4,32.5,15.8,74.6,0,17.3,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,15-01-2018,0,16.3,33.2,20.3,71.8,0,14.8,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,16-01-2018,0,12.8,33.1,26,84,0,18,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,17-01-2018,0,12.2,32.1,20.9,76.3,0,18.2,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,18-01-2018,0,11.9,32.7,21.5,74.9,0,12.8,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,19-01-2018,0,9.3,30.7,21.3,69.1,0,23.3,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,20-01-2018,0,9.4,31.2,17,72.8,0,16,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,21-01-2018,0,11.1,31.4,17.5,68.3,0,14.6,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,22-01-2018,0,11.9,30.4,21.9,72.4,0,18,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,23-01-2018,0,15.4,31.8,20.9,66.7,0,16.1,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,24-01-2018,0,14.5,32.3,26,82.1,0,22,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,25-01-2018,0,10,30.7,25.8,77.4,0,18.9,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
Adilabad Rural,26-01-2018,0,9.2,30.1,17.5,68.7,0,14.6,6.1,21.3,66,28,21,81,12,1,85,8,0,0,66
