Mandal,Date,Rain (mm),Min Temp,Max Temp,Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),SO2,Nox,PM 10,NH3,PM 2.5,Petrol Vehicle,Diesel Vehicle,Electric Vehicle,1-3 seater,4-7 seater,8-20 seater,20+ seater,AQI
Adilabad Rural,01-11-2022,-0.932196026,12.90894534,,41.64591758,98.03784197,0.674609065,8.678332609,10.97349713,29.55076603,63.00471711,41.30126077,20.7492244,-37.79053546,-8.915576202,-0.538914825,-54.01012187,6.65554109,0.000337046,0.067018626,
Adilabad Rural,02-11-2022,-0.932248933,13.05671424,,42.15411281,96.90725329,0.94961086,8.057005537,10.97148968,29.55044156,63.00610557,41.30015412,20.7488731,-27.55985847,-7.134320852,-0.538449107,-39.36699047,4.405457136,0.25060681,0.067018901,
Adilabad Rural,03-11-2022,-0.949921115,14.15372454,,39.29599914,97.07567648,-0.000375681,4.924783571,10.9699138,29.55205784,63.00974218,41.3006677,20.74849735,-49.43471684,-7.339872875,-0.537791557,-57.77768057,1.40396569,0.250828739,0.067018964,
Adilabad Rural,04-11-2022,-0.977533486,14.47758248,,38.84154425,95.79495006,-0.000372702,5.61445756,10.96674772,29.55100703,63.01643594,41.30189737,20.74768231,-54.24662193,-8.769798811,-0.037324987,-61.83804995,1.153449046,0.001024564,0.067018863,
Adilabad Rural,05-11-2022,-1.010362598,13.50181643,,38.96598173,98.19933494,0.024627997,6.478611141,10.96377444,29.54796018,63.01947821,41.30410651,20.74603159,-41.0004382,-9.193351174,0.21323411,-50.46411473,3.40363571,0.001294275,0.067018868,
Adilabad Rural,06-11-2022,-1.046217702,12.9022555,,36.36126481,96.23287772,-0.000366167,5.796037521,10.96315385,29.54757956,63.02669033,41.30645727,20.74468079,-41.27146091,-10.39528288,0.213760098,-50.23245272,2.154847884,0.001597483,0.067019131,
Adilabad Rural,07-11-2022,-1.084887312,13.05222612,,39.30425972,95.19173596,-0.000365005,4.66630188,10.96381798,29.54878652,63.03691893,41.30781518,20.74355962,-53.243977,-11.6410894,-0.035778764,-60.01693731,-1.093071145,0.00188514,0.067019376,
Adilabad Rural,08-11-2022,-1.126200983,11.52688205,,38.97395915,92.28975069,0.024636522,6.841454047,10.96418865,29.55070143,63.04676303,41.3062229,20.74310609,-33.84341047,-10.15107665,-0.035262258,-40.61739114,1.158680408,0.002144622,0.06701974,
Adilabad Rural,09-11-2022,-1.170176034,10.00293236,,32.44356628,91.28850433,0.049638347,6.790026783,10.96471524,29.55318961,63.05591202,41.30618898,20.74313214,-11.50526567,-7.396102565,0.215154985,-17.60784553,5.160739903,0.252362052,0.067019973,
Adilabad Rural,10-11-2022,-1.218433431,10.57905235,,32.30163017,87.9026446,-0.00036101,7.946670831,10.96478332,29.55603517,63.06507659,41.30772486,20.74320799,-41.38055202,-8.365429161,-0.034633273,-47.20429656,4.913042294,0.252510229,0.067020157,
Adilabad Rural,11-11-2022,-1.271057167,9.93043649,,33.94392904,95.97336615,-0.000360719,6.493943852,10.9647725,29.55981608,63.07451784,41.31074676,20.74333472,-44.91102123,-8.30766089,0.215940454,-49.1149193,4.916874104,0.002700274,0.067020267,
Adilabad Rural,12-11-2022,-1.327897913,11.28185107,,32.67703331,91.06054449,0.074636522,5.605807679,10.96464242,29.5636009,63.08417763,41.31518193,20.74399029,-16.3707185,-6.984791106,-0.033226912,-19.26687599,6.170791071,0.002848692,0.067020276,
Adilabad Rural,13-11-2022,-1.389039484,12.70751092,,39.49960164,90.77071747,-0.000361826,7.670332865,10.96446079,29.56669619,63.0936291,41.32091144,20.74531626,-38.22770143,-7.160724871,-0.28236562,-37.93232952,4.42568786,0.003043697,0.067020209,
Adilabad Rural,14-11-2022,-1.449468379,13.10801929,,39.57841765,94.63040175,0.07463879,6.105252447,10.9642952,29.56948225,63.10294989,41.32639504,20.74677188,-50.6103697,-5.849771198,-0.281519503,-46.7164734,3.681387909,0.003211984,0.067020002,
Adilabad Rural,15-11-2022,-1.196986262,12.30873474,,43.46530518,93.42152029,-0.000364884,4.616370458,10.96356515,29.57182036,63.11081382,41.33108255,20.74873812,-36.1887995,-6.066924146,-0.2810366,-32.43935021,4.186492502,0.253394111,0.067019952,
Adilabad Rural,16-11-2022,-1.327993239,12.03492963,,44.50497342,94.37596702,0.124636803,7.388124465,10.96278031,29.57397643,63.11861319,41.33481498,20.75132114,-14.94199253,-7.320381277,-0.280157104,-10.28076395,3.191113476,0.253548327,0.067019885,
Adilabad Rural,17-11-2022,-0.076338205,13.01034719,,46.43208508,93.79205793,0.099634778,6.93071859,10.96151001,29.57574364,63.12355424,41.3383584,20.75296573,-33.13760904,-8.10883689,-0.529245278,-26.1367343,0.695125901,0.003637757,0.067019968,
