Mandal,Date,Rain (mm),Min Temp,Max Temp,Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),SO2,Nox,PM 10,PM 2.5,NH3,Petrol Vehicle,Diesel Vehicle,Electric Vehicle,1-3 seater,4-7 seater,8-20 seater,20+ seater,AQI
Chigurumamidi,01-01-2018,0,14.7,31.9,31.1,87.1,0,5.2,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,02-01-2018,0,13.7,31.5,36.1,93.5,0,7,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,03-01-2018,0,13.5,30.3,34.4,90.6,0,6.1,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,04-01-2018,0,13.1,31.2,33.4,86.1,0,6.5,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,05-01-2018,0,12.5,28.6,31.3,84.3,0,6.1,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,06-01-2018,0,11.6,29.9,26.7,81.3,0,4.2,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,07-01-2018,0,13.4,29.9,28.1,84.7,0,7.1,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,08-01-2018,0,12.5,30.25,34,93.7,0,6.8,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,09-01-2018,0,13.3,30.3,30.2,87.6,0,8.8,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,10-01-2018,0,13.6,29.1,40.4,94.7,0,6.5,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,11-01-2018,0,14.5,29.6,29.9,86.6,0,2.1,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,12-01-2018,0,15.5,31.9,28.8,82.5,0,5.1,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,13-01-2018,0,15.2,32.4,28.4,87.8,0,6.5,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,14-01-2018,0,15.2,31.9,24.6,77.3,0,7.1,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,15-01-2018,0,18.8,31.8,36.7,90.4,0,6.5,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,16-01-2018,0,16,32.2,45.9,97.6,0,4.7,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,17-01-2018,0,13.6,32,33.3,87,0,8.4,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,18-01-2018,0,14.7,32,28.1,88.3,0,9,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,19-01-2018,0,12.5,31.3,28.1,88,0,3.5,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,20-01-2018,0,10.8,31.8,22.5,81,0,0.3,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,21-01-2018,0,12.5,30.1,23.2,83.3,0,10,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,22-01-2018,0,15.8,29.7,27.8,86.8,0,6.8,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,23-01-2018,0,16.7,30.7,34.9,86.8,0,9.5,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,24-01-2018,0,17.2,31.9,33,89.7,0,8,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,25-01-2018,0,14.9,31.2,37.9,87.8,0,8.9,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,26-01-2018,0,12,31,28.8,83.8,0,6.6,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,27-01-2018,0,11.3,31.2,22.5,78,0,2.8,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,28-01-2018,0,13.2,30.2,28.8,88,0,5.3,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,29-01-2018,0,14.5,30.7,34.4,94.4,0,10.2,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,30-01-2018,0,12.5,30.3,30.9,86.1,0,10.2,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,31-01-2018,0,12.5,31,23.2,75.4,0,1.4,7.9,38.5,117,57,25,152,23,0,154,21,0,0,111
Chigurumamidi,01-02-2018,0,13,32.9,17.1,71.7,0,10.3,6.5,45.8,88,45,54,152,23,0,154,21,0,0,87
Chigurumamidi,02-02-2018,0,12.5,32.9,17.1,66.1,0,10.1,6.5,45.8,88,45,54,152,23,0,154,21,0,0,87
Chigurumamidi,03-02-2018,0,17.3,32.7,17.1,52.7,0,8.7,6.5,45.8,88,45,54,152,23,0,154,21,0,0,87
Chigurumamidi,04-02-2018,0,16,32.5,20.6,50.4,0,15.1,6.5,45.8,88,45,54,152,23,0,154,21,0,0,87
Chigurumamidi,05-02-2018,0,16.8,32.7,23.5,77.3,0,11.5,6.5,45.8,88,45,54,152,23,0,154,21,0,0,87
