Mandal,Date,Rain (mm),Min Temp,Max Temp,Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),SO2,Nox,PM 10,PM 2.5,NH3,Petrol Vehicle,Diesel Vehicle,Electric Vehicle,1-3 seater,4-7 seater,8-20 seater,20+ seater,AQI
Bonakal,01-11-2022,-0.384960737,20.37571907,,42.45729773,99.72988021,-0.335730851,1.21081505,7.39960866,30.90164246,56.9943198,66.01475462,39.00794115,22.44431305,17.04579399,-0.008332681,32.0730305,14.41998742,0.026741047,0.115456982,
Bonakal,02-11-2022,2.691630981,20.50057027,,46.37063761,99.65840447,-0.08573078,3.234448047,7.399217319,30.90328491,56.98863968,66.02950221,39.01588206,22.24373545,19.08273451,0.008910819,32.39111787,15.58601322,0.009516658,0.11543432,
Bonakal,03-11-2022,0.365572103,20.25049983,,49.79973121,99.73398041,-0.085728183,0.932604399,7.398825979,30.90492736,56.98295957,66.0442498,39.02382298,19.76268262,20.30819423,-0.025570739,24.65207702,14.80655989,0.095691034,0.149953365,
Bonakal,04-11-2022,-0.385287531,21.10037121,,44.77475427,99.68350613,-0.085725981,1.251998288,7.398434639,30.90656981,56.97727945,66.05899738,39.03176389,20.26729315,20.93832062,0.060634918,26.9549211,14.73773582,0.112898053,0.115462496,
Bonakal,05-11-2022,-0.385073416,19.90028333,,46.88591213,99.73489367,-0.085728992,1.172441608,7.398043299,30.90821226,56.97159934,66.07374497,39.0397048,22.17133091,20.2850938,0.198565213,33.41990002,15.49581445,0.009464534,0.098171224,
Bonakal,06-11-2022,-0.384912506,20.49993106,,44.78080953,99.73807155,-0.085731555,-0.501447771,7.397651958,30.90985471,56.96591922,66.08849256,39.04764572,20.89920367,19.43695007,0.146841627,28.83945723,14.83878565,0.16457607,0.132643543,
Bonakal,07-11-2022,-0.385069646,20.39967443,,44.95714459,99.74229963,-0.085730733,0.847508371,7.397260618,30.91149717,56.96023911,66.10324015,39.05558663,19.05032776,20.46520601,-0.007936762,22.62149499,15.24917673,0.197274865,0.132821483,
Bonakal,08-11-2022,-0.38469468,18.99947533,,36.73901861,99.72051567,-0.08572448,3.148348158,7.396869278,30.91313962,56.95455899,66.11798774,39.06352754,19.60907874,21.61179033,0.093756415,24.73215754,16.80413373,0.112509415,0.13283932,
Bonakal,09-11-2022,-0.38514935,16.82450205,,27.41245743,99.74669153,-0.085726845,3.754221261,7.396477937,30.91478207,56.94887888,66.13273532,39.07146846,20.05494638,22.36888328,0.144603937,26.82151345,17.17678857,0.095598348,0.200676444,
Bonakal,10-11-2022,-0.385189813,17.72434849,,32.43574026,99.47050077,-0.085726098,3.461385251,7.396086597,30.91642452,56.94319876,66.14748291,39.07940937,19.12689373,22.27210495,0.076807988,23.88181099,16.65913449,0.078633486,0.166746131,
Bonakal,11-11-2022,-0.385589616,18.07417419,,32.37800788,97.59296255,-0.085726048,0.191001498,7.395695257,30.91806697,56.93751865,66.1622305,39.08735028,19.27358329,20.88639907,0.110705356,25.47430276,13.2933445,0.095598348,0.098903366,
Bonakal,12-11-2022,-0.385588619,18.97386085,,33.56946662,98.76485071,-0.085722244,1.646270777,7.395303917,30.91970943,56.93183853,66.17697809,39.0952912,18.50676044,18.80561882,0.076807728,21.60654674,13.40229888,0.112552676,0.098907597,
Bonakal,13-11-2022,1.761332299,18.77370721,,45.14313583,99.08886578,-0.08572206,2.772351306,7.394912576,30.92135188,56.92615842,66.19172568,39.10323211,19.9321805,21.23540861,0.025960352,27.03853614,16.51846488,0.078653153,0.115878233,
Bonakal,14-11-2022,-0.385065556,17.44867464,,37.71931729,99.1146411,-0.085722878,2.823305022,7.394521236,30.92299433,56.9204783,66.20647326,39.11117302,19.35948403,20.52526913,0.042909109,25.42437636,15.67680503,0.027819966,0.149787897,
Bonakal,15-11-2022,-0.385187099,18.54869189,,36.59341111,99.41763517,-0.085722688,1.168962175,7.394129896,30.92463678,56.91479819,66.22122085,39.11911394,18.63558719,18.55990289,0.059859327,22.93028415,13.72708035,-0.006093882,0.149767305,
Bonakal,16-11-2022,-0.385129438,20.42363038,,35.09794274,97.57017378,-0.085718831,2.811221968,7.393738556,30.92627923,56.90911807,66.23596844,39.12705485,18.29261794,18.13611559,0.263249257,21.9378063,13.53400497,0.027796983,0.14976059,
Bonakal,17-11-2022,2.365138359,19.92353128,,41.79292868,99.59675926,-0.085719615,2.348084621,7.393347215,30.92792168,56.90343796,66.25071603,39.13499576,19.48527527,18.84715836,0.364944231,26.08111482,15.46583941,0.02777862,0.200626917,
Bonakal,18-11-2022,-0.385224041,20.09828796,,38.66259667,99.1962106,-0.085716013,1.281861,7.392955875,30.92956414,56.89775784,66.26546362,39.14293668,20.76270319,20.24071934,0.161553938,32.05826218,15.15746719,0.027801481,0.183667211,
Bonakal,19-11-2022,0.063852713,19.82300633,,45.4570394,99.61843033,-0.085714576,1.038203422,7.392564535,30.93120659,56.89207773,66.2802112,39.15087759,19.90706021,20.43976617,0.229348232,29.2997525,15.95294176,0.061684388,0.098885469,
Bonakal,20-11-2022,0.26325947,19.84779594,,44.06833497,99.36491907,-0.085715162,1.921051199,7.392173194,30.93284904,56.88639761,66.29495879,39.1588185,19.62421111,21.40563162,0.297147262,28.61246249,17.44892722,0.095623507,0.149781798,
