Mandal,Date,Rain (mm),Min Temp,Max Temp,Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),SO2,Nox,PM 10,PM 2.5,NH3,Petrol Vehicle,Diesel Vehicle,Electric Vehicle,1-3 seater,4-7 seater,8-20 seater,20+ seater,AQI
Armur,01-11-2022,-1.736363366,17.61486991,,30.17878457,98.34290274,-0.003900438,7.255527302,8.601478551,27.4028347,61.00019333,35.0062376,17.99999998,46.18788697,3.664781772,3.729616604,43.56778279,1.4782394,-0.017534201,2.61E-06,
Armur,02-11-2022,11.92975843,18.06476985,,30.70737843,99.1917486,-0.003903136,5.478406917,8.602956731,27.4056692,61.00038665,35.0124749,17.99999997,50.75152117,2.332383102,3.557265368,44.9381733,2.158847911,-0.051996928,4.92E-06,
Armur,03-11-2022,-1.727375372,18.91470952,,35.98109371,101.1001116,-0.003930338,3.658531537,8.60443491,27.40850371,61.00057996,35.0187122,17.99999995,40.29105722,2.944174841,3.850637036,38.87444207,1.688845193,-0.034803577,0.034490789,
Armur,04-11-2022,-1.727680439,18.38961111,,34.12875857,99.79361891,-0.003971539,4.128540067,8.60591309,27.41133821,61.00077327,35.02494949,17.99999993,41.70982164,4.309823534,4.143770402,40.54125509,0.878400041,0.085889686,0.051730046,
Armur,05-11-2022,-0.058507784,18.33978888,,28.18952529,99.13090614,-0.004000414,0.916638871,8.607391269,27.41417271,61.00096659,35.03118679,17.99999992,46.10149405,3.839024784,4.160862764,44.12507026,-0.906266574,0.172093043,0.051730727,
Armur,06-11-2022,-1.738407091,17.78984303,,24.57651565,99.45919413,-0.004004014,0.808040038,8.608869448,27.41700721,61.0011599,35.03742408,17.9999999,41.64163804,3.234436938,4.781222222,41.34525793,-1.096260991,0.137671062,0.051729972,
Armur,07-11-2022,-1.746474023,18.28973176,,26.25028189,99.1097949,-0.004008014,2.522327313,8.610347628,27.41984172,61.00135322,35.04366138,17.99999988,48.11829329,3.983007115,4.498346909,43.84181965,1.038771479,-0.051015512,0.10345548,
Armur,08-11-2022,-1.755345127,16.74073827,,26.97698016,99.92596438,-0.004016831,2.381227374,8.611825807,27.42267622,61.00154653,35.04989867,17.99999987,54.14787855,5.934722094,3.718551432,46.4532374,2.744855635,0.016715162,0.103452442,
Armur,09-11-2022,-1.764440259,15.11631957,,26.65477847,100.0646034,-0.00403538,3.791160918,8.613303987,27.42551072,61.00173984,35.05613597,17.99999985,48.9465426,6.74886835,4.091714336,43.54052004,2.387027131,0.101499379,0.052601686,
Armur,10-11-2022,-1.773733787,14.69133696,,19.33696006,100.048951,-0.004053535,3.423586431,8.614782166,27.42834522,61.00193316,35.06237326,17.99999983,38.83091291,4.619289979,4.057692607,36.62392028,0.483823143,0.033728875,0.035647494,
Armur,11-11-2022,-1.782904169,14.36674963,,22.20988204,99.70476057,-0.004082828,2.904086146,8.616260345,27.43117972,61.00212647,35.06861056,17.99999982,28.23139979,1.953651878,4.515324609,29.59734441,-1.297286606,0.050678329,0.03564359,
Armur,12-11-2022,-1.792290737,16.19176744,,21.97348372,92.49621797,-0.004111964,2.623055594,8.617738525,27.43401423,61.00231978,35.07484786,17.9999998,32.76176828,2.437376828,4.464375581,31.88261014,-0.819239416,0.186233277,0.018692895,
Armur,13-11-2022,-1.80087051,16.76665456,,29.81648253,99.31471576,-0.004141017,4.672189318,8.619216704,27.43684873,61.0025131,35.08108515,17.99999978,44.42704655,5.310070179,3.854060868,38.23349344,1.083561818,0.169286064,0.001742681,
Armur,14-11-2022,-1.784011756,17.91665965,,36.47040599,96.70924842,-0.004146995,2.070536929,8.620694883,27.43968323,61.00270641,35.08732245,17.99999976,42.6634118,3.687673082,4.057576247,36.87561305,0.468414303,0.067610311,0.001740038,
Armur,15-11-2022,-1.817184325,17.54152179,,30.74941505,94.94283936,0.070833241,2.14798468,8.622173063,27.44251773,61.00289972,35.09355974,17.99999975,40.66247516,2.465370747,4.040534006,34.95706656,-0.504022939,-0.000229526,0.001738875,
Armur,16-11-2022,-1.824147553,18.0669488,,30.9748996,94.58883585,-0.004195889,1.767917654,8.623651242,27.44535224,61.00309304,35.09979704,17.99999973,30.53723512,0.956511578,4.057420937,27.74804381,-1.014404372,0.050674861,0.018685549,
Armur,17-11-2022,-1.323905836,17.84259312,,32.62891915,94.14792017,-0.00423469,2.441855088,8.625129422,27.44818674,61.00328635,35.10603433,17.99999971,32.44587743,3.572705937,4.159163353,29.40430063,-0.285470894,0.135414156,0.052582721,
Armur,18-11-2022,-1.837017153,18.56826666,,29.06597112,96.54328159,-0.004281639,1.992104602,8.626607601,27.45102124,61.00347967,35.11227163,17.9999997,41.43334867,3.794703981,3.70148932,34.7572326,0.120933771,0.084520204,0.052584333,
Armur,19-11-2022,-1.842268909,18.79374246,,33.06020872,100.2784314,0.195659076,1.695305022,8.62808578,27.45385574,61.00367298,35.11850893,17.99999968,45.93879379,3.423215522,3.548951712,36.76926813,0.70760341,0.067604195,0.052586341,
Armur,20-11-2022,-1.745534484,19.19445061,,36.05296271,100.2749675,-0.004392154,2.074959164,8.62956396,27.45669025,61.00386629,35.12474622,17.99999966,49.34534887,3.180794638,3.888040904,38.01642676,1.041049877,0.084488703,0.069536283,
Armur,21-11-2022,-1.851770167,18.21971741,,32.33028075,99.02309206,-0.004443099,1.605903286,8.631042139,27.45952475,61.00405961,35.13098352,17.99999965,34.5745972,3.921993698,3.735518976,30.00072127,-0.608891178,0.033768994,0.035637087,
Armur,22-11-2022,-1.855734454,17.56977533,,30.40382712,99.18405313,-0.004476933,1.586919571,8.632520318,27.46235925,61.00425292,35.13722081,17.99999963,24.99861839,2.833713863,3.667811352,23.93917435,-1.749196558,-0.017136786,0.001738289,
Armur,23-11-2022,-1.85918276,16.77033183,,30.19522096,99.56724747,-0.004505888,2.965898858,8.633998498,27.46519375,61.00444623,35.14345811,17.99999961,39.93567783,2.744854349,3.769530805,32.78176108,-1.482548703,-0.051105916,0.018687636,
Armur,24-11-2022,-1.862277423,16.22041798,,26.24581846,97.23936504,-0.004542517,4.354668424,8.635476677,27.46802826,61.00463955,35.1496954,17.9999996,45.1987743,3.247874912,3.684686584,36.055597,-1.33588863,-0.017170664,0.01868789,
