Mandal,Date,Rain (mm),Min Temp,Max Temp,Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),SO2,Nox,PM 10,PM 2.5,NH3,Petrol Vehicle,Diesel Vehicle,Electric Vehicle,1-3 seater,4-7 seater,8-20 seater,20+ seater,AQI
Atmakur,01-01-2018,0,13.2,32.7,32.4,78.6,0,12.4,7.7,27.1,110.7,47,24,104,14,1,112,7,0,0,106
Atmakur,02-01-2018,0,14,32,35.1,79,0,15,7.7,27.1,110.7,47,24,383,13,1,390,7,0,0,106
Atmakur,03-01-2018,0,13,31.5,30.2,79.3,0,14.9,7.7,27.1,110.7,47,24,345,6,0,349,2,0,0,106
Atmakur,04-01-2018,0,11.5,30.8,32.5,79.9,0,17.5,7.7,27.1,110.7,47,24,31,14,1,41,5,0,0,106
Atmakur,05-01-2018,0,10.4,30.2,29.9,79.8,0,13.1,7.7,27.1,110.7,47,24,82,27,1,103,7,0,0,106
Atmakur,06-01-2018,0,10.3,31.1,25.7,81.1,0,14.5,7.7,27.1,110.7,47,24,103,30,0,125,8,0,0,106
Atmakur,07-01-2018,0,11.1,31,30.3,81.2,0,17.4,7.7,27.1,110.7,47,24,76,24,0,94,6,0,0,106
Atmakur,08-01-2018,0,11.9,29.73,34.7,79.1,0,17.2,7.7,27.1,110.7,47,24,63,17,0,75,5,0,0,106
Atmakur,09-01-2018,0,11.8,31.3,29.5,79.8,0,11.8,7.7,27.1,110.7,47,24,67,18,0,79,6,0,0,106
Atmakur,10-01-2018,0,12.5,29.7,37,80.2,0,10.8,7.7,27.1,110.7,47,24,29,8,0,36,1,0,0,106
Atmakur,11-01-2018,0,13.6,29.9,32.2,79.7,0,16.4,7.7,27.1,110.7,47,24,54,7,0,57,4,0,0,106
Atmakur,12-01-2018,0,13.1,31.9,31.8,80.5,0,15.7,7.7,27.1,110.7,47,24,96,14,0,103,7,0,0,106
Atmakur,13-01-2018,0,13.2,32.7,28,79.6,0,16,7.7,27.1,110.7,47,24,56,7,0,60,3,0,0,106
Atmakur,14-01-2018,0,14.1,33.1,22.5,79.5,0,15.4,7.7,27.1,110.7,47,24,33,1,0,34,0,0,0,106
Atmakur,15-01-2018,0,18.2,32.8,43.5,78.9,0,9.4,7.7,27.1,110.7,47,24,71,7,0,73,3,2,0,106
Atmakur,16-01-2018,0,14.4,33.3,42.7,78.3,0,10.2,7.7,27.1,110.7,47,24,107,6,0,107,4,2,0,106
Atmakur,17-01-2018,0,12.4,33.6,29.7,80,0,18,7.7,27.1,110.7,47,24,56,0,0,55,1,0,0,106
Atmakur,18-01-2018,0,12.5,33,29.5,79.7,0,12.9,7.7,27.1,110.7,47,24,61,6,0,66,1,0,0,106
Atmakur,19-01-2018,0,11.9,31.2,37.2,79.2,0,0.2,7.7,27.1,110.7,47,24,133,11,0,141,3,0,0,106
Atmakur,20-01-2018,0,10,31,26.3,82.4,0,7.4,7.7,27.1,110.7,47,24,123,10,0,129,3,1,0,106
Atmakur,21-01-2018,0,11.8,31.6,28.6,80.4,0,10.8,7.7,27.1,110.7,47,24,89,9,0,95,2,1,0,106
Atmakur,22-01-2018,0,13.2,31.9,34.7,79.2,0,0.4,7.7,27.1,110.7,47,24,62,9,0,65,6,0,0,106
Atmakur,23-01-2018,0,12.9,30.8,33.2,80.4,0,0.1,7.7,27.1,110.7,47,24,44,9,0,45,8,0,0,106
Atmakur,24-01-2018,0,14.7,31.5,38.2,79.7,0,5.9,7.7,27.1,110.7,47,24,21,7,0,22,6,0,0,106
Atmakur,25-01-2018,0,17.4,31.1,43.5,80.2,0,16,7.7,27.1,110.7,47,24,33,16,0,43,5,1,0,106
Atmakur,26-01-2018,0,11.1,32.2,29.9,79.9,0,22,7.7,27.1,110.7,47,24,106,19,1,121,3,2,0,106
Atmakur,27-01-2018,0,10.9,32.3,22,80.2,0,7.4,7.7,27.1,110.7,47,24,89,15,1,99,5,1,0,106
Atmakur,28-01-2018,0,13.1,32,31.1,80.3,0,12.3,7.7,27.1,110.7,47,24,61,14,0,70,5,0,0,106
Atmakur,29-01-2018,0,13.3,31.5,36.2,80.1,0,4.1,7.7,27.1,110.7,47,24,93,16,0,107,2,0,0,106
Atmakur,30-01-2018,0,11.4,30.4,32.5,80.7,0,14.3,7.7,27.1,110.7,47,24,97,15,0,107,5,0,0,106
Atmakur,31-01-2018,0,9.7,31,25.7,80.9,0,18.4,7.7,27.1,110.7,47,24,50,4,0,50,4,0,0,106
Atmakur,01-02-2018,0,10.3,33.6,17.7,81.6,0,22.5,6.9,34.5,92.3,44,55.5,39,8,0,43,4,0,0,91
Atmakur,02-02-2018,0,9.1,32.7,17.7,81.2,0,22.3,6.9,34.5,92.3,44,55.5,72,13,0,79,6,0,0,91
Atmakur,03-02-2018,0,10.6,34.9,16.5,80.7,0,16.3,6.9,34.5,92.3,44,55.5,59,13,0,66,6,0,0,91
Atmakur,04-02-2018,0,11.5,33.4,25.1,80.7,0,18.5,6.9,34.5,92.3,44,55.5,48,13,0,55,6,0,0,91
Atmakur,05-02-2018,0,12,33.1,26.3,80.6,0,16.6,6.9,34.5,92.3,44,55.5,73,21,0,84,10,0,0,91
Atmakur,06-02-2018,0,13.2,33.5,30.1,80.4,0,16.6,6.9,34.5,92.3,44,55.5,72,23,0,82,13,0,0,91
Atmakur,07-02-2018,0,15.8,33.6,31.4,80,0,13.3,6.9,34.5,92.3,44,55.5,25,7,0,27,5,0,0,91
